Date,DateValue,Open,High,Low,Close,Adj Close,Volume
2011-01-25,40568,607.400024,609.650024,590.0,594.275024,487.805878,2467094.0
2011-01-27,40570,593.775024,604.974976,590.799988,599.700012,493.088745,4714118.0
2011-01-28,40571,597.5,601.799988,582.625,590.674988,485.668121,3014578.0
2011-01-31,40574,584.5,584.5,564.275024,579.75,476.685211,5940816.0
2011-02-01,40575,582.5,582.5,566.5,575.075012,472.841431,4212708.0
2011-02-02,40576,585.0,599.450012,581.174988,591.224976,486.120239,3937618.0
2011-02-03,40577,592.349976,597.849976,585.325012,591.849976,486.634308,1883412.0
2011-02-04,40578,588.0,591.549988,570.125,574.400024,472.28653,3457600.0
2011-02-07,40581,586.75,586.75,563.25,565.575012,465.030304,2578382.0
2011-02-08,40582,566.0,574.950012,559.25,562.549988,462.543152,5288638.0
2011-02-09,40583,561.25,564.799988,541.849976,549.150024,451.525208,6012732.0
2011-02-10,40584,550.0,557.25,536.0,545.375,448.421326,4551822.0
2011-02-11,40585,542.049988,552.099976,527.950012,544.799988,447.948547,2945056.0
2011-02-14,40588,545.5,560.0,543.5,556.150024,457.280762,2462548.0
2011-02-15,40589,559.5,559.5,538.275024,548.849976,451.278503,3625426.0
2011-02-16,40590,552.5,554.849976,540.5,548.25,450.785217,2464592.0
2011-02-17,40591,552.5,557.224976,546.200012,554.599976,456.006348,1477760.0
2011-02-18,40592,555.125,566.200012,541.049988,544.849976,447.989532,4076928.0
2011-02-21,40595,545.0,574.0,529.099976,569.299988,468.092865,5657800.0
2011-02-22,40596,561.325012,573.849976,560.0,569.375,468.154755,3305400.0
2011-02-23,40597,564.075012,572.474976,561.549988,562.775024,462.728119,1879344.0
2011-02-24,40598,559.5,569.375,545.650024,555.900024,457.075348,5378830.0
2011-02-25,40599,552.650024,558.5,544.125,555.025024,456.355682,3070474.0
2011-02-28,40602,550.599976,574.125,550.0,555.125,456.437988,3229396.0
2011-03-01,40603,556.5,566.0,548.799988,562.25,462.296356,3167804.0
2011-03-03,40605,559.950012,577.5,553.5,575.099976,472.861847,3452600.0
2011-03-04,40606,581.674988,581.674988,566.25,567.775024,466.839172,2061198.0
2011-03-07,40609,562.0,562.5,547.224976,554.125,455.615845,4184588.0
2011-03-08,40610,552.575012,564.400024,552.575012,558.849976,459.500793,3947902.0
2011-03-09,40611,561.275024,569.0,559.25,563.349976,463.200775,2424486.0
2011-03-10,40612,561.0,561.0,550.0,554.275024,455.739075,1871324.0
2011-03-11,40613,550.0,551.200012,531.650024,538.525024,442.789124,5012882.0
2011-03-14,40616,535.5,551.0,529.200012,548.775024,451.217041,3248618.0
2011-03-15,40617,537.5,547.724976,532.825012,544.900024,448.030884,3411868.0
2011-03-16,40618,546.0,561.724976,545.575012,557.424988,458.329102,2677874.0
2011-03-17,40619,552.5,559.450012,546.325012,549.0,451.401855,2056102.0
2011-03-18,40620,546.75,554.5,538.049988,541.375,445.132355,2211348.0
2011-03-21,40623,545.75,545.75,533.25,535.400024,440.219818,2619090.0
2011-03-22,40624,537.549988,540.0,531.5,534.75,439.68512,2657774.0
2011-03-23,40625,535.5,535.5,528.625,532.174988,437.567932,4352248.0
2011-03-24,40626,535.5,547.775024,535.0,546.700012,449.510803,3094834.0
2011-03-25,40627,558.424988,564.25,551.875,559.825012,460.30249,4146434.0
2011-03-28,40630,561.924988,563.349976,554.0,559.950012,460.405304,2248642.0
2011-03-29,40631,560.0,575.950012,559.575012,569.349976,468.134247,3159588.0
2011-03-30,40632,574.0,582.0,572.450012,575.974976,473.581421,2294770.0
2011-03-31,40633,576.0,599.0,576.0,591.950012,486.716553,7394126.0
2011-04-01,40634,592.5,599.375,586.275024,590.075012,485.174683,1799624.0
2011-04-04,40637,592.5,608.0,592.0,606.599976,498.762146,2311616.0
2011-04-05,40638,607.525024,621.974976,601.875,619.924988,509.718323,2891014.0
2011-04-06,40639,619.5,623.474976,607.075012,610.924988,502.318024,2422352.0
2011-04-07,40640,610.0,610.0,597.575012,599.599976,493.006531,2149016.0
2011-04-08,40641,598.450012,607.0,592.375,598.0,491.690887,1983768.0
2011-04-11,40644,590.075012,597.5,587.650024,589.200012,484.45517,2256232.0
2011-04-13,40646,587.5,610.700012,587.150024,605.049988,497.487823,3757530.0
2011-04-15,40648,608.450012,609.950012,590.0,595.700012,489.799805,7566770.0
2011-04-18,40651,599.0,606.25,570.025024,572.299988,470.559875,7765454.0
2011-04-19,40652,572.299988,584.700012,570.0,582.349976,478.82312,3120224.0
2011-04-20,40653,589.900024,612.0,589.775024,609.349976,501.023193,5338548.0
2011-04-21,40654,620.5,622.900024,585.424988,596.049988,490.087646,17333968.0
2011-04-25,40658,598.5,602.0,586.325012,598.924988,492.451508,4191552.0
2011-04-26,40659,600.0,601.0,590.174988,594.5,488.813019,3155246.0
2011-04-27,40660,597.474976,597.474976,588.025024,590.299988,485.359619,1774478.0
2011-04-28,40661,590.075012,591.75,577.799988,579.325012,476.335785,2846194.0
2011-04-29,40662,586.0,586.0,575.125,582.825012,479.213593,1866696.0
2011-05-02,40665,585.0,588.75,576.25,579.224976,476.253723,1543070.0
2011-05-03,40666,581.0,581.0,565.5,569.224976,468.031525,2120156.0
2011-05-04,40667,573.0,573.0,557.575012,568.525024,467.455902,2722934.0
2011-05-05,40668,572.5,572.5,554.049988,557.5,458.390808,1885596.0
2011-05-06,40669,560.0,576.75,559.875,574.474976,472.348022,2405348.0
2011-05-09,40672,575.0,575.974976,562.25,567.775024,466.839172,1012232.0
2011-05-10,40673,566.5,579.974976,564.0,569.950012,468.627502,1529158.0
2011-05-11,40674,569.5,575.849976,563.049988,570.125,468.771515,1460670.0
2011-05-12,40675,566.950012,566.950012,554.174988,555.875,457.05484,2540458.0
2011-05-13,40676,556.0,571.150024,556.0,563.549988,463.365326,2365488.0
2011-05-16,40679,560.5,573.700012,560.0,565.549988,465.009674,2227368.0
2011-05-17,40680,561.025024,574.599976,561.025024,570.849976,469.367493,1391414.0
2011-05-18,40681,571.125,580.75,571.125,577.525024,474.855835,2225180.0
2011-05-19,40682,582.5,585.0,578.0,582.424988,478.884735,2050922.0
2011-05-20,40683,586.875,591.700012,581.625,587.5,483.057434,2050600.0
2011-05-23,40686,582.0,585.25,575.0,583.275024,479.583679,2017284.0
2011-05-24,40687,581.325012,586.400024,569.575012,574.950012,472.738739,1681994.0
2011-05-25,40688,574.549988,574.950012,560.0,564.299988,463.981995,1867470.0
2011-05-26,40689,569.5,571.5,560.0,567.875,466.921387,2060218.0
2011-05-27,40690,574.275024,574.950012,568.150024,572.275024,470.539215,1286704.0
2011-05-30,40693,575.5,579.974976,571.150024,575.974976,473.581421,1140868.0
2011-05-31,40694,577.5,588.849976,575.049988,578.575012,475.719208,2644154.0
2011-06-01,40695,578.5,588.5,578.5,587.700012,483.222168,982386.0
2011-06-02,40696,579.450012,586.0,578.325012,583.875,480.076996,1697654.0
